Date,Total_Pop,Pop_5_24,Percent_5_24,Median_Age,Male_to_Female_Ratio,Pop_5_24_per1000,RUCA1,Income,Race,Total_Mobile_Home,No_English,Below_Poverty_Line,Percent_18_24_no_HS_diploma,Percent_No_HS_Diploma,Percent_Unemployment,NDVI,TAVG,TMIN,TMAX,EHF,Above_95th,RH,Heat_Index,Discomfort_Index,Outcome,month,Day,TMAX_24hr_diff,TMIN_24hr_diff,loc,Region,log_Total_Pop_per1000
2016-06-01,194952.999999999,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.52125,21.1855555555556,14.5677777777778,27.8022222222222,0,0,73.1622222222222,21.3333333333333,20.1948751444444,14,6,4,-0.738888888888889,0.988888888888889,1,1,5.27275850387137
2016-06-02,194952.999999999,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.11125,21.5833333333333,15.1822222222222,27.9833333333333,0,0,72.7111111111111,21.7777777777778,20.5148610444444,8,6,5,0.181111111111111,0.614444444444445,1,1,5.27275850387137
2016-06-03,194952.999999999,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.5725,21.2622222222222,15.1255555555556,27.3966666666667,0,0,77.45,21.5555555555556,20.4218367666667,8,6,6,-0.534444444444444,-0.0555555555555556,1,1,5.27275850387137
2016-06-04,194952.999999999,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.56125,22.54125,15.835,29.24875,0,0,71.81375,22.875,21.29250635,8,6,7,1.89625,0.71125,1,1,5.27275850387137
2016-06-05,194952.999999999,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.1025,23.4225,17.0875,29.76,0,0,71.265,23.75,22.00641781875,8,6,1,0.51125,1.2525,1,1,5.27275850387137
2016-06-06,194952.999999999,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.41,20.3375,16.1375,24.53875,0,0,85.5825,20.875,19.86905455,9,6,2,-5.22125,-0.95,1,1,5.27275850387137
2016-06-07,194952.999999999,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.64875,19.43875,13.9875,24.89375,0,0,84.8725,19.875,19.0257484,12,6,3,0.355,-2.15,1,1,5.27275850387137
2016-06-08,194952.999999999,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.69125,19.4833333333333,11.3488888888889,27.6211111111111,0,0,53.3944444444445,18.8888888888889,18.2051490388889,8,6,4,2.67666666666667,-2.63333333333333,1,1,5.27275850387137
2016-06-09,194952.999999999,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.61125,17.20625,9.04375,25.3675,0,0,54.3875,16.125,16.5261391125,11,6,5,-2.22875,-2.3325,1,1,5.27275850387137
2016-06-10,194952.999999999,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.4725,18.572,10.102,27.043,0,0,58.81,17.8,17.644739215,8,6,6,1.711,1.121,1,1,5.27275850387137
