Date,sumCTL,Year,substance,depressed,suicide,self_harm,stress_anxiety,relationship,bereavement,bully,isolated,eating,abuse,lgbtq,other,racism,covid_19,sexual_abuse,emotional_abuse,uspecified_abuse,Time
2019-03-02,122,246318,2,49,47,11,34,48,4,3,24,4,5,2,10,0,0,1,10,0,Before
2019-03-03,120,242280,3,60,45,19,41,47,3,4,24,3,5,2,11,0,0,3,7,0,Before
2019-03-04,110,222090,5,48,41,17,33,41,4,2,27,2,1,2,6,0,0,4,3,0,Before
2019-03-05,165,333135,4,75,50,15,52,72,7,7,43,6,3,3,11,0,0,3,4,0,Before
2019-03-06,202,407838,4,98,54,18,71,74,13,3,41,5,2,4,19,0,0,1,7,0,Before
2019-03-07,260,524940,4,127,59,24,89,87,14,3,60,7,3,3,28,0,0,6,6,0,Before
2019-03-08,177,357363,3,70,43,17,57,79,8,7,38,3,3,0,19,0,0,7,3,0,Before
2019-03-09,118,238242,1,51,31,16,38,49,4,3,22,5,2,1,17,0,0,2,4,0,Before
2019-03-10,124,250356,2,56,39,11,43,52,6,4,29,0,3,1,10,0,0,2,8,0,Before
2019-03-11,140,282660,3,58,43,13,32,58,4,7,24,0,2,3,16,0,0,5,3,0,Before
2019-03-12,117,236223,2,52,39,18,37,42,6,6,26,4,2,2,21,0,0,2,5,0,Before
2019-03-13,123,248337,4,56,43,14,40,54,5,5,30,4,5,5,8,0,0,2,11,0,Before
2019-03-14,130,262470,3,51,32,9,42,51,7,1,29,3,2,0,17,0,0,2,3,0,Before
2019-03-15,122,246318,2,45,32,12,35,42,7,4,20,9,1,1,12,0,0,4,3,0,Before
2019-03-16,109,220071,1,41,39,20,32,40,5,1,18,3,2,6,15,0,0,3,4,0,Before
2019-03-17,110,222090,5,48,40,13,35,44,6,4,24,5,5,6,7,0,0,6,8,0,Before
2019-03-18,118,238242,6,56,49,14,29,42,8,6,26,1,3,2,15,0,0,1,1,0,Before
2019-03-19,133,268527,0,59,38,22,39,54,4,4,29,2,1,2,14,0,0,0,4,0,Before
2019-03-20,141,284679,3,65,37,21,39,58,12,7,37,1,4,4,9,0,0,3,7,0,Before
2019-03-21,139,280641,8,70,45,19,47,58,7,5,28,4,5,2,21,0,0,4,6,0,Before
2019-03-22,122,246318,1,51,40,21,42,52,2,4,28,6,2,3,16,0,0,3,4,0,Before
2019-03-23,98,197862,2,43,25,11,31,38,2,3,22,4,0,2,12,0,0,2,1,0,Before
2019-03-24,113,228147,2,39,35,17,34,48,4,1,27,2,2,4,17,0,0,3,4,0,Before
2019-03-25,168,339192,4,74,54,22,45,56,8,4,33,4,3,3,25,0,0,5,2,0,Before
2019-03-26,162,327078,1,72,41,16,53,65,5,5,45,4,1,4,17,0,0,2,3,0,Before
2019-03-27,166,335154,2,73,41,26,46,61,4,1,40,4,1,2,20,0,0,2,4,0,Before
2019-03-28,143,288717,4,63,38,15,53,43,5,5,21,8,2,1,11,0,0,4,4,0,Before
2019-03-29,165,333135,4,59,49,22,60,55,13,12,33,2,0,5,14,0,0,1,5,0,Before
2019-03-30,108,218052,3,46,27,16,37,48,3,7,23,1,1,5,8,0,0,4,5,0,Before
2019-03-31,122,246318,3,60,51,18,36,42,7,2,31,7,3,5,10,0,0,3,3,0,Before
2019-04-01,147,296793,6,61,47,26,50,55,5,8,23,1,2,4,16,0,0,3,6,0,Before
2019-04-02,140,282660,0,61,44,17,44,49,6,1,22,8,2,2,16,0,0,4,4,0,Before
2019-04-03,156,314964,4,56,46,18,64,69,10,3,29,3,1,3,13,0,0,1,3,0,Before
2019-04-04,157,316983,3,60,44,20,47,47,4,2,24,4,2,4,22,0,0,7,7,0,Before
2019-04-05,129,260451,3,61,35,16,39,46,2,6,26,5,3,4,12,0,0,6,11,0,Before
2019-04-06,122,246318,0,53,45,24,39,48,5,8,25,2,2,3,12,0,0,2,3,0,Before
2019-04-07,113,228147,2,51,34,14,38,47,3,11,19,3,3,2,9,0,0,2,4,0,Before
2019-04-08,148,298812,0,59,60,19,44,59,8,4,32,7,2,8,8,0,0,4,4,0,Before
2019-04-09,128,258432,0,50,35,11,42,63,3,3,34,3,0,6,6,0,0,4,2,0,Before
2019-04-10,124,250356,1,50,37,17,46,38,5,9,25,11,2,1,16,0,0,1,3,0,Before
2019-04-11,137,276603,3,48,44,13,49,57,2,5,35,2,1,0,16,0,0,2,2,0,Before
2019-04-12,113,228147,2,39,32,14,34,48,3,5,28,4,2,1,11,0,0,2,4,0,Before
2019-04-13,138,278622,3,65,50,16,40,59,6,4,36,1,2,4,6,0,0,4,5,0,Before
2019-04-14,107,216033,0,48,33,11,41,41,3,5,16,3,1,3,13,0,0,0,2,0,Before
2019-04-15,118,238242,0,42,42,11,27,38,5,2,25,4,0,4,15,0,0,1,1,0,Before
2019-04-16,124,250356,3,41,40,27,39,40,3,2,17,5,4,2,10,0,0,3,5,0,Before
2019-04-17,115,232185,3,51,33,16,34,44,5,5,21,5,3,0,12,0,0,1,6,0,Before
2019-04-18,138,278622,1,68,47,18,45,44,6,5,25,5,2,3,15,0,0,6,3,0,Before
2019-04-19,130,262470,2,50,38,28,41,52,7,2,22,5,2,0,17,0,0,3,7,0,Before
2019-04-20,115,232185,2,38,36,19,42,48,4,2,35,5,1,2,18,0,0,3,3,0,Before
2019-04-21,101,203919,1,31,31,15,27,32,4,0,13,6,0,2,14,0,0,3,3,0,Before
2019-04-22,140,282660,1,62,48,14,43,48,5,4,29,6,1,4,15,0,0,6,3,0,Before
2019-04-23,157,316983,5,58,48,27,51,49,5,4,25,8,1,1,17,0,0,6,5,0,Before
2019-04-24,134,270546,1,47,49,18,35,47,7,4,24,7,2,2,11,0,0,5,3,0,Before
2019-04-25,146,294774,6,61,37,19,47,57,5,8,30,5,4,5,12,0,0,4,11,0,Before
2019-04-26,119,240261,5,38,39,24,35,46,4,8,26,3,1,2,12,0,0,1,4,0,Before
2019-04-27,112,226128,3,40,38,13,29,39,3,3,25,2,0,2,13,0,0,2,0,0,Before
2019-04-28,110,222090,6,40,36,11,28,48,4,1,22,3,2,1,6,0,0,3,2,0,Before
2019-04-29,147,296793,1,65,48,24,49,49,8,8,36,4,5,2,17,0,0,3,15,0,Before
2019-04-30,121,244299,3,52,30,10,56,37,4,5,20,4,1,1,17,0,0,1,3,0,Before
2019-05-01,130,262470,2,55,42,19,52,48,5,6,28,4,2,2,9,0,0,1,1,0,Before
2019-05-02,156,314964,3,59,51,20,48,59,3,9,26,9,3,3,23,0,0,3,6,0,Before
2019-05-03,126,254394,3,54,31,19,44,33,1,3,20,3,2,1,9,0,0,4,5,0,Before
2019-05-04,92,185748,0,43,30,15,26,30,4,5,25,2,0,0,11,0,0,1,2,0,Before
2019-05-05,111,224109,5,41,42,10,33,39,2,4,26,0,2,6,14,0,0,2,6,0,Before
2019-05-06,114,230166,3,45,42,15,37,43,5,2,24,5,1,4,9,0,0,3,7,0,Before
2019-05-07,123,248337,5,49,42,12,43,40,3,3,18,1,0,2,16,0,0,2,3,0,Before
2019-05-08,145,292755,1,67,44,18,45,51,5,7,30,5,1,5,11,0,0,6,3,0,Before
2019-05-09,118,238242,1,45,33,21,36,52,6,4,23,3,0,2,11,0,0,3,3,0,Before
2019-05-10,102,205938,1,45,16,5,40,36,4,3,16,5,0,3,16,0,0,2,0,0,Before
2019-05-11,100,201900,3,35,22,8,46,37,4,1,19,4,3,1,14,0,0,5,3,0,Before
2019-05-12,114,230166,1,42,39,23,38,39,7,2,23,4,1,1,22,0,0,2,5,0,Before
2019-05-13,119,240261,2,49,39,16,50,38,4,5,30,3,1,2,16,0,0,4,2,0,Before
2019-05-14,131,264489,2,49,38,12,45,55,3,3,24,8,3,3,15,0,0,8,4,0,Before
2019-05-15,124,250356,1,53,31,18,39,53,0,2,18,5,1,3,10,0,0,3,3,0,Before
2019-05-16,148,298812,3,58,40,8,35,59,7,3,29,2,2,1,14,0,0,3,4,0,Before
2019-05-17,126,254394,2,50,37,16,45,53,5,9,34,2,3,0,19,0,0,1,6,0,Before
2019-05-18,118,238242,4,43,40,12,42,49,5,2,21,2,5,1,20,0,0,2,6,0,Before
2019-05-19,154,310926,7,68,45,10,50,68,6,8,39,6,8,1,20,0,0,4,10,0,Before
2019-05-20,141,284679,3,61,53,21,37,52,12,4,31,1,3,4,12,0,0,4,8,0,Before
2019-05-21,137,276603,0,61,43,20,65,53,4,6,30,3,2,3,5,0,0,4,3,0,Before
2019-05-22,132,266508,2,58,42,20,47,48,5,4,32,2,4,4,14,0,0,2,5,0,Before
2019-05-23,153,308907,6,77,41,19,51,53,4,2,30,5,0,2,26,0,0,3,3,0,Before
2019-05-24,85,171615,2,34,26,5,26,35,2,1,18,2,3,2,6,0,0,2,6,0,Before
2019-05-25,114,230166,2,49,28,13,33,41,5,4,25,1,1,0,13,0,0,1,3,0,Before
2019-05-26,109,220071,2,39,31,12,31,43,4,3,28,3,1,1,9,0,0,2,2,0,Before
2019-05-27,103,207957,1,35,30,13,29,49,5,2,20,2,4,2,13,0,0,4,3,0,Before
2019-05-28,124,250356,6,47,34,16,37,44,2,2,30,3,0,2,22,0,0,3,1,0,Before
2019-05-29,303,611757,10,117,57,21,87,152,8,3,65,4,4,2,34,0,0,7,10,0,Before
2019-05-30,335,676365,6,155,61,14,106,165,13,5,84,2,2,3,35,0,0,5,9,0,Before
2019-05-31,217,438123,2,76,44,12,46,94,7,1,49,4,6,1,34,0,0,3,5,0,Before
2019-06-01,163,329097,3,69,33,13,49,88,2,2,42,6,3,2,17,0,0,5,11,0,Before
2019-06-02,126,254394,3,58,33,11,34,56,5,2,34,2,2,2,17,0,0,2,0,0,Before
2019-06-03,139,280641,1,48,33,8,35,65,6,3,31,7,5,2,14,0,0,3,3,0,Before
2019-06-04,168,339192,4,76,35,17,44,76,11,2,31,1,3,2,26,0,0,10,9,0,Before
2019-06-05,152,306888,2,68,44,12,44,60,9,2,32,2,0,3,19,0,0,1,2,0,Before
2019-06-06,167,337173,5,61,44,11,50,60,6,3,31,6,3,2,30,0,0,6,6,0,Before
2019-06-07,149,300831,1,58,36,17,44,68,1,4,22,6,4,1,19,0,0,2,6,0,Before
2019-06-08,135,272565,2,57,30,13,34,56,5,1,37,5,3,5,13,0,0,5,5,0,Before
2019-06-09,125,252375,5,59,38,13,36,60,3,1,29,2,2,3,14,0,0,10,2,0,Before
2019-06-10,129,260451,3,54,48,16,45,65,7,2,27,2,2,6,11,0,0,3,4,0,Before
2019-06-11,213,430047,9,93,50,23,63,99,12,4,60,4,3,6,27,0,0,5,10,0,Before
2019-06-12,260,524940,3,109,41,13,59,128,8,6,66,13,7,4,30,0,0,4,8,0,Before
2019-06-13,192,387648,4,85,39,21,53,81,6,2,49,2,4,4,18,0,0,8,5,0,Before
2019-06-14,181,365439,5,70,35,12,48,76,7,5,52,10,5,3,22,0,0,4,7,0,Before
2019-06-15,162,327078,2,71,48,22,48,73,8,4,37,4,4,3,25,0,0,5,8,0,Before
2019-06-16,129,260451,0,48,44,15,39,70,9,6,32,2,1,7,16,0,0,4,7,0,Before
2019-06-17,142,286698,5,59,38,9,33,70,10,2,34,7,6,3,15,0,0,6,4,0,Before
2019-06-18,146,294774,3,56,36,18,40,66,3,2,35,4,5,3,12,0,0,7,7,0,Before
2019-06-19,141,284679,3,63,33,10,40,56,4,2,28,5,2,3,25,0,0,5,4,0,Before
2019-06-20,113,228147,1,58,36,11,27,46,5,4,23,4,6,6,7,0,0,4,5,0,Before
2019-06-21,162,327078,4,68,42,15,39,69,9,4,45,3,4,1,25,0,0,5,7,0,Before
2019-06-22,125,252375,3,48,34,9,38,51,5,3,32,2,2,1,18,0,0,4,6,0,Before
2019-06-23,119,240261,3,50,32,10,30,59,3,3,34,0,1,2,13,0,0,3,8,0,Before
2019-06-24,145,292755,3,56,32,14,54,63,6,3,28,1,6,2,20,0,0,1,15,0,Before
2019-06-25,154,310926,2,72,35,16,51,47,7,2,42,3,2,3,17,0,0,2,6,0,Before
2019-06-26,152,306888,6,59,47,12,43,67,5,2,36,1,4,3,27,0,0,3,9,0,Before
2019-06-27,141,284679,6,64,45,18,50,58,5,4,35,2,3,4,17,0,0,3,9,0,Before
2019-06-28,132,266508,3,57,35,17,34,46,1,2,26,7,1,2,16,0,0,1,1,0,Before
2019-06-29,123,248337,0,53,42,12,33,50,1,2,34,4,4,3,12,0,0,5,4,0,Before
2019-06-30,109,220071,2,40,26,11,35,42,5,0,29,0,2,2,13,0,0,1,3,0,Before
2019-07-01,126,254394,5,44,39,15,40,50,5,0,25,5,3,2,17,0,0,0,5,0,Before
2019-07-02,136,274584,2,62,41,20,43,57,3,6,35,2,3,4,11,0,0,4,11,0,Before
2019-07-03,124,250356,3,57,29,19,44,48,5,1,32,2,3,5,12,0,0,1,9,0,Before
2019-07-04,100,201900,3,49,37,16,22,32,3,1,18,5,2,0,14,0,0,0,2,0,Before
2019-07-05,92,185748,3,33,27,10,28,35,7,2,22,2,3,3,9,0,0,2,5,0,Before
2019-07-06,101,203919,1,43,34,15,35,42,5,2,22,2,2,3,13,0,0,0,5,0,Before
2019-07-07,114,230166,7,52,28,7,43,53,6,4,30,1,2,1,18,0,0,5,5,0,Before
2019-07-08,142,286698,2,60,43,16,53,58,6,7,36,4,5,5,20,0,0,8,10,0,Before
2019-07-09,119,240261,5,51,28,9,36,51,3,3,29,3,0,3,12,0,0,2,2,0,Before
2019-07-10,114,230166,3,49,29,10,41,36,4,4,21,2,4,3,17,0,0,3,9,0,Before
2019-07-11,128,258432,4,55,32,13,42,50,10,3,25,5,5,2,16,0,0,7,9,0,Before
2019-07-12,239,482541,5,103,47,17,56,114,13,6,56,5,7,3,30,0,0,9,8,0,Before
2019-07-13,205,413895,4,84,53,11,54,94,23,4,45,6,0,4,28,0,0,2,4,0,Before
2019-07-14,146,294774,4,62,37,12,43,60,7,0,45,4,5,2,24,0,0,3,9,0,Before
2019-07-15,163,329097,5,67,44,11,53,73,4,6,33,4,2,1,14,0,0,0,14,0,Before
2019-07-16,139,280641,4,59,46,13,49,49,4,4,36,8,5,1,20,0,0,2,9,0,Before
2019-07-17,160,323040,1,66,50,19,53,71,11,1,34,4,3,0,16,0,0,5,5,0,Before
2019-07-18,124,250356,6,59,39,15,41,50,7,3,32,7,1,4,21,0,0,4,1,0,Before
2019-07-19,139,280641,2,72,34,11,54,61,6,2,32,8,1,1,14,0,0,2,3,0,Before
2019-07-20,154,310926,0,63,29,18,45,69,10,4,41,23,3,4,20,0,0,0,6,0,Before
2019-07-21,155,312945,1,64,43,16,41,59,10,2,43,5,3,4,13,0,0,3,2,0,Before
2019-07-22,119,240261,2,55,34,13,38,51,4,2,25,9,4,3,10,0,0,1,2,0,Before
2019-07-23,153,308907,5,64,37,13,61,56,5,4,24,10,3,6,16,0,0,4,7,0,Before
2019-07-24,141,284679,3,51,39,17,53,61,5,1,24,4,1,4,16,0,0,2,5,0,Before
2019-07-25,123,248337,2,43,34,12,34,43,4,3,25,4,5,2,26,0,0,5,6,0,Before
2019-07-26,124,250356,2,58,46,16,35,57,6,1,34,4,1,4,9,0,0,5,2,0,Before
2019-07-27,135,272565,6,67,41,19,52,53,2,3,33,6,4,3,19,0,0,7,2,0,Before
2019-07-28,140,282660,4,57,40,15,58,52,6,5,27,2,7,1,14,0,0,4,6,0,Before
2019-07-29,124,250356,6,57,30,14,49,48,6,3,26,4,2,1,15,0,0,4,7,0,Before
2019-07-30,136,274584,4,57,39,12,45,52,4,3,24,4,4,3,10,0,0,2,6,0,Before
2019-07-31,140,282660,3,71,42,20,53,55,5,6,36,4,6,4,18,0,0,6,9,0,Before
